language	passage_name	text	ipa	n_phones	n_syllables
ENG	O1	I have a problem with my water softener. The water-level is too high and the overflow keeps dripping. Could you arrange to send an engineer on Tuesday morning please? It's the only day I can manage this week. I'd be grateful if you could confirm the arrangement in writing.	['aɪ', 'hav', 'eɪ', 'pɹɒbləm', 'wɪð', 'maɪ', 'wɔːtə', 'sɒfənə', 'ðə', 'wɔːtəlɛvəl', 'ɪz', 'tuː', 'haɪ', 'and', 'ðə', 'əʊvəfləʊ', 'kiːps', 'dɹɪpɪŋ', 'kʊd', 'juː', 'ɐɹeɪndʒ', 'tuː', 'sɛnd', 'an', 'ɛndʒɪniə', 'ɒn', 'tjuːzdeɪ', 'mɔːnɪŋ', 'pliːz', 'ɪts', 'ðə', 'əʊnli', 'deɪ', 'aɪ', 'kan', 'manɪdʒ', 'ðɪs', 'wiːk', 'aɪd', 'biː', 'ɡɹeɪtfəl', 'ɪf', 'juː', 'kʊd', 'kənfɜːm', 'ðə', 'ɐɹeɪndʒmənt', 'ɪn', 'ɹaɪtɪŋ']	203	70
ENG	O2	Please put me through to the complaints department. The repair to the water main outside my house was unsuccessful, and my cellar's flooded. Your Water Services Department was singularly unsympathetic. All their repair teams are apparently booked out for the next two weeks. Am I supposed to use the cellar as a swimming pool till then?	['pliːz', 'pʊt', 'miː', 'θɹuː', 'tuː', 'ðə', 'kəmpleɪnts', 'dɪpɑːtmənt', 'ðə', 'ɹɪpeə', 'tuː', 'ðə', 'wɔːtə', 'meɪn', 'aʊtsaɪd', 'maɪ', 'haʊs', 'wɒz', 'ʌnsəksɛsfəl', 'and', 'maɪ', 'sɛləz', 'flʌdɪd', 'jɔː', 'wɔːtə', 'sɜːvɪsɪz', 'dɪpɑːtmənt', 'wɒz', 'sɪŋɡjʊləli', 'ʌnsɪmpəθɛtɪk', 'ɔːl', 'ðeə', 'ɹɪpeə', 'tiːmz', 'ɑː', 'ɐpaɹəntli', 'bʊkt', 'aʊt', 'fɔː', 'ðə', 'nɛkst', 'tuː', 'wiːks', 'am', 'aɪ', 'səpəʊzd', 'tuː', 'juːs', 'ðə', 'sɛlə', 'az', 'eɪ', 'swɪmɪŋ', 'puːl', 'tɪl', 'ðɛn']	253	84
ENG	O3	Municipal Fire Service speaking. We're trying to locate an emergency caller who rang off without giving any personal details. He appeared to be on the local network. He connected on our line number 762 584. We'd appreciate immediate attempts to trace him because he sounded desperate.	['mjuːnɪsɪpəl', 'faɪə', 'sɜːvɪs', 'spiːkɪŋ', 'wiə', 'tɹaɪɪŋ', 'tuː', 'ləʊkeɪt', 'an', 'ɪmɜːdʒənsi', 'kɔːlə', 'huː', 'ɹaŋ', 'ɒf', 'wɪðaʊt', 'ɡɪvɪŋ', 'ɛni', 'pɜːsənəl', 'diːteɪlz', 'hiː', 'ɐpiəd', 'tuː', 'biː', 'ɒn', 'ðə', 'ləʊkəl', 'nɛtwɜːk', 'hiː', 'kənɛktɪd', 'ɒn', 'aʊə', 'laɪn', 'nʌmbə', 'sɛvənhʌndɹɪdandsɪkstituː', 'faɪvhʌndɹɪdandeɪtifɔː', 'wiːd', 'ɐpɹiːʃɪeɪt', 'ɪmiːdɪət', 'ɐtɛmpts', 'tuː', 'tɹeɪs', 'hɪm', 'bɪkɒz', 'hiː', 'saʊndɪd', 'dɛspəɹət']	265	92
ENG	O4	Please take a request for an early-morning taxi. Mr Spencer of Chestnut Drive wishes to be at Heathrow terminal 4 by 6.15 a.m. His flight's not leaving till 7.50 but he has to arrange for excess baggage. Mark it as top priority and ensure punctuality. He expects the car at 5.30 sharp.	['pliːz', 'teɪk', 'eɪ', 'ɹɪkwɛst', 'fɔː', 'an', 'ɜːlɪmɔːnɪŋ', 'taksi', 'mɪstə', 'spɛnsə', 'ɒv', 'tʃɛstnʌt', 'dɹaɪv', 'wɪʃɪz', 'tuː', 'biː', 'at', 'hiːθɹəʊ', 'tɜːmɪnəl', 'fɔː', 'baɪ', 'sɪksdɒtfɪftiːn', 'eɪɛm', 'hɪz', 'flaɪts', 'nɒt', 'liːvɪŋ', 'tɪl', 'sɛvəndɒtfɪfti', 'bʌt', 'hiː', 'haz', 'tuː', 'ɐɹeɪndʒ', 'fɔː', 'ɛksɛs', 'baɡɪdʒ', 'mɑːk', 'ɪt', 'az', 'tɒp', 'pɹaɪɒɹɪti', 'and', 'ɛnʃʊə', 'pʌŋktʃuːalɪti', 'hiː', 'ɛkspɛkts', 'ðə', 'kɑː', 'at', 'faɪvdɒtθɜːti', 'ʃɑːp']	254	88
ENG	O6	I'm trying to contact Mr and Mrs W. George of Swindon. They've moved from 63 Spruce Close to another part of Swindon. Can you give me their new number please? They moved approximately 3 months ago. As far as I know they're not ex-directory.	['aɪm', 'tɹaɪɪŋ', 'tuː', 'kɒntakt', 'mɪstə', 'and', 'mɪsɪz', 'dʌbəljuː', 'dʒɔːdʒ', 'ɒv', 'swɪndən', 'ðeɪv', 'muːvd', 'fɹɒm', 'sɪkstiθɹiː', 'spɹuːs', 'kləʊs', 'tuː', 'ɐnʌðə', 'pɑːt', 'ɒv', 'swɪndən', 'kan', 'juː', 'ɡɪv', 'miː', 'ðeə', 'njuː', 'nʌmbə', 'pliːz', 'ðeɪ', 'muːvd', 'ɐpɹɒksɪmətli', 'θɹiː', 'mʌnθs', 'ɐɡəʊ', 'az', 'fɑː', 'az', 'aɪ', 'nəʊ', 'ðeɪə', 'nɒt', 'ɛksdaɪɹɛktəɹi']	202	66
ENG	O8	Please connect me to the service department. My television has been out of action for almost three weeks now, and I need to know when it will be repaired. You collected it on the 13th and promised to return within a week. I realise you're having supply problems, but this is rather excessive. Can you give me a firm date now?	['pliːz', 'kənɛkt', 'miː', 'tuː', 'ðə', 'sɜːvɪs', 'dɪpɑːtmənt', 'maɪ', 'tɛlɪvɪʒən', 'haz', 'biːn', 'aʊt', 'ɒv', 'akʃən', 'fɔː', 'ɔːlməʊst', 'θɹiː', 'wiːks', 'naʊ', 'and', 'aɪ', 'niːd', 'tuː', 'nəʊ', 'wɛn', 'ɪt', 'wɪl', 'biː', 'ɹɪpeəd', 'juː', 'kəlɛktɪd', 'ɪt', 'ɒn', 'ðə', 'θɜːtiːnθ', 'and', 'pɹɒmɪst', 'tuː', 'ɹɪtɜːn', 'wɪðɪn', 'eɪ', 'wiːk', 'aɪ', 'ɹiəlaɪz', 'jɔː', 'havɪŋ', 'səplaɪ', 'pɹɒbləmz', 'bʌt', 'ðɪs', 'ɪz', 'ɹɑːðə', 'ɛksɛsɪv', 'kan', 'juː', 'ɡɪv', 'miː', 'eɪ', 'fɜːm', 'deɪt', 'naʊ']	250	82
ENG	O9	Can you give me a list of the restaurants in the neighbourhood? I live in Clancy Street, NW1. I'm interested in something a little more exotic than usual. Perhaps a Polynesian place, for example. I'd prefer it not to be vegetarian.	['kan', 'juː', 'ɡɪv', 'miː', 'eɪ', 'lɪst', 'ɒv', 'ðə', 'ɹɛstɹɒnts', 'ɪn', 'ðə', 'neɪbəhʊd', 'aɪ', 'laɪv', 'ɪn', 'klansi', 'stɹiːt', 'ɛnwʌn', 'aɪm', 'ɪntɹɛstɪd', 'ɪn', 'sʌmθɪŋ', 'eɪ', 'lɪtəl', 'mɔː', 'ɛɡzɒtɪk', 'ðɐn', 'juːʒuːəl', 'pəhaps', 'eɪ', 'pɒlɪniːziən', 'pleɪs', 'fɔː', 'ɛɡzampəl', 'aɪd', 'pɹɪfɜː', 'ɪt', 'nɒt', 'tuː', 'biː', 'vɛdʒɪteəɹiən']	182	61
ENG	P0	My wife has a complicated flight schedule next month. Would you please advise me on the most economical arrangements? She has a series of meetings, 9am to 5pm, in Paris, Bruges, Frankfurt, Rome, and Hamburg on consecutive days. Can you suggest convenient evening flights and suitable accomodation? She doesn't like large, anonymous hotels.	['maɪ', 'waɪf', 'haz', 'eɪ', 'kɒmplɪkeɪtɪd', 'flaɪt', 'ʃɛdjuːl', 'nɛkst', 'mʌnθ', 'wʊd', 'juː', 'pliːz', 'ɐdvaɪz', 'miː', 'ɒn', 'ðə', 'məʊst', 'iːkənɒmɪkəl', 'ɐɹeɪndʒmənts', 'ʃiː', 'haz', 'eɪ', 'siəɹiz', 'ɒv', 'miːtɪŋz', 'nɪniːm', 'tuː', 'faɪvəpəm', 'ɪn', 'paɹɪs', 'bɹuːdʒɪz', 'fɹaŋkfɜːt', 'ɹəʊm', 'and', 'hambɜːɡ', 'ɒn', 'kənsɛkjuːtɪv', 'deɪz', 'kan', 'juː', 'sədʒɛst', 'kənviːnɪənt', 'iːvnɪŋ', 'flaɪts', 'and', 'suːtəbəl', 'ɐkɒmədeɪʃən', 'ʃiː', 'dʌzənt', 'laɪk', 'lɑːdʒ', 'ɐnɒnəməs', 'həʊtɛlz']	280	90
ENG	P1	We are enquiring into possible catering arrangements for a large meeting. We would need to have the food delivered to the premises in a manner that would allow immediate consumption. There are no facilities for setting out the food in a separate room. We were thinking of a selection of sandwiches, meats, cheeses, and fruit. Do you have special corporate rates for academic institutions?	['wiː', 'ɑː', 'ɛŋkwaɪəɹɪŋ', 'ɪntʊ', 'pɒsɪbəl', 'keɪtəɹɪŋ', 'ɐɹeɪndʒmənts', 'fɔː', 'eɪ', 'lɑːdʒ', 'miːtɪŋ', 'wiː', 'wʊd', 'niːd', 'tuː', 'hav', 'ðə', 'fuːd', 'dɪlɪvəd', 'tuː', 'ðə', 'pɹɛmɪsɪz', 'ɪn', 'eɪ', 'manə', 'ðat', 'wʊd', 'ɐlaʊ', 'ɪmiːdɪət', 'kənsʌmpʃən', 'ðeə', 'ɑː', 'nəʊ', 'fəsɪlɪtiz', 'fɔː', 'sɛtɪŋ', 'aʊt', 'ðə', 'fuːd', 'ɪn', 'eɪ', 'sɛpɹət', 'ɹuːm', 'wiː', 'wɜː', 'θɪŋkɪŋ', 'ɒv', 'eɪ', 'sɪlɛkʃən', 'ɒv', 'sandwɪtʃɪz', 'miːts', 'tʃiːzɪz', 'and', 'fɹuːt', 'duː', 'juː', 'hav', 'spɛʃəl', 'kɔːpəɹət', 'ɹeɪts', 'fɔː', 'akədɛmɪk', 'ɪnstɪtjuːʃənz']	292	105
ENG	P2	Send an ambulance to sixteen Chadwick Close as soon as possible. An old man has slipped on the ice and broken his leg, and can't be moved. Access to the Close is via Church Street only. The Park Avenue approach has been closed for road repairs. Chester Grange Hospital has been informed, and awaits arrival.	['sɛnd', 'an', 'ambjʊləns', 'tuː', 'sɪkstiːn', 'tʃadwɪk', 'kləʊs', 'az', 'suːn', 'az', 'pɒsɪbəl', 'an', 'əʊld', 'man', 'haz', 'slɪpt', 'ɒn', 'ðə', 'aɪs', 'and', 'bɹəʊkən', 'hɪz', 'lɛɡ', 'and', 'kɑːnt', 'biː', 'muːvd', 'aksɛs', 'tuː', 'ðə', 'kləʊs', 'ɪz', 'vaɪə', 'tʃɜːtʃ', 'stɹiːt', 'əʊnli', 'ðə', 'pɑːk', 'avənjuː', 'ɐpɹəʊtʃ', 'haz', 'biːn', 'kləʊzd', 'fɔː', 'ɹəʊd', 'ɹɪpeəz', 'tʃɛstə', 'ɡɹeɪndʒ', 'hɒspɪtəl', 'haz', 'biːn', 'ɪnfɔːmd', 'and', 'ɐweɪts', 'ɐɹaɪvəl']	238	75
